model,valid_iters,condition,num_samples,epe,bad_1,bad_3,d1_all,rmse
15-44-51,4,cloudy,2000,1.1940,22.42,3.42,3.32,2.8399
15-44-51,4,foggy,2000,1.1434,33.03,4.06,4.05,2.1944
15-44-51,4,rainy,2000,1.9999,46.48,14.88,14.81,3.1949
15-44-51,4,sunny,2000,1.0180,21.34,3.60,3.46,2.9877
15-44-51,4,OVERALL,2000,1.2339,28.19,5.13,5.05,2.7475
15-44-51,8,cloudy,2000,1.1826,22.30,3.34,3.25,2.8388
15-44-51,8,foggy,2000,1.1579,32.71,4.03,4.02,2.2061
15-44-51,8,rainy,2000,2.0120,46.78,15.14,15.07,3.1817
15-44-51,8,sunny,2000,1.0156,21.33,3.57,3.43,2.9912
15-44-51,8,OVERALL,2000,1.2353,28.10,5.13,5.04,2.7497
20-26-39,4,cloudy,2000,0.9178,22.51,2.88,2.78,2.3764
20-26-39,4,foggy,2000,0.9010,30.45,2.17,2.15,1.6609
20-26-39,4,rainy,2000,1.4638,41.29,12.11,12.02,2.3924
20-26-39,4,sunny,2000,0.9644,21.68,3.38,3.23,2.7159
20-26-39,4,OVERALL,2000,0.9969,26.92,4.02,3.93,2.2752
20-26-39,8,cloudy,2000,0.9173,22.58,2.86,2.76,2.3721
20-26-39,8,foggy,2000,0.9046,30.65,2.19,2.17,1.6670
20-26-39,8,rainy,2000,1.4635,41.29,12.12,12.02,2.3918
20-26-39,8,sunny,2000,0.9624,21.71,3.36,3.21,2.7074
20-26-39,8,OVERALL,2000,0.9972,27.01,4.01,3.92,2.2731
20-30-48,4,cloudy,2000,0.8764,21.00,2.83,2.72,2.2551
20-30-48,4,foggy,2000,0.8752,28.93,2.12,2.11,1.6133
20-30-48,4,rainy,2000,1.4254,41.36,11.46,11.39,2.2979
20-30-48,4,sunny,2000,0.9173,20.61,3.38,3.22,2.5634
20-30-48,4,OVERALL,2000,0.9587,25.74,3.90,3.81,2.1691
20-30-48,8,cloudy,2000,0.8775,20.96,2.80,2.69,2.2689
20-30-48,8,foggy,2000,0.8778,28.97,2.14,2.13,1.6266
20-30-48,8,rainy,2000,1.4300,41.45,11.54,11.46,2.3061
20-30-48,8,sunny,2000,0.9216,20.63,3.35,3.20,2.5908
20-30-48,8,OVERALL,2000,0.9616,25.76,3.90,3.81,2.1859
23-36-37,4,cloudy,2000,0.9166,21.87,2.83,2.73,2.4204
23-36-37,4,foggy,2000,0.8980,30.32,2.14,2.12,1.6468
23-36-37,4,rainy,2000,1.4484,41.26,11.87,11.78,2.3499
23-36-37,4,sunny,2000,0.9695,21.48,3.44,3.30,2.7721
23-36-37,4,OVERALL,2000,0.9952,26.63,3.98,3.89,2.2953
23-36-37,8,cloudy,2000,0.9219,21.94,2.82,2.72,2.4460
23-36-37,8,foggy,2000,0.8946,30.09,2.11,2.10,1.6491
23-36-37,8,rainy,2000,1.4450,41.07,11.86,11.77,2.3473
23-36-37,8,sunny,2000,0.9758,21.51,3.42,3.28,2.8092
23-36-37,8,OVERALL,2000,0.9973,26.57,3.96,3.87,2.3140
